【4参数组合效果表】
==============================================================================================================
 T_CLS  T_FEAT FT_READ FT_RUN |    漏检%    通过%    审核% |    晨读%    晨跑%     差异
  7.00    1.40    0.62   0.56 |    0.0   79.0   21.0 |   98.8   93.5    5.3
  3.00    1.40    0.64   0.56 |    0.0   84.9   15.1 |   98.9   93.5    5.4
  4.00    1.40    0.64   0.56 |    0.0   84.9   15.1 |   98.9   93.5    5.4
  5.00    1.40    0.64   0.56 |    0.0   84.2   15.8 |   98.9   93.5    5.4
  6.00    1.40    0.64   0.56 |    0.0   82.5   17.5 |   98.9   93.5    5.4
  7.00    1.40    0.64   0.56 |    0.0   78.8   21.2 |   98.9   93.5    5.4
  3.00    1.40    0.66   0.56 |    0.0   84.5   15.5 |   99.0   93.5    5.5
  4.00    1.40    0.66   0.56 |    0.0   84.4   15.6 |   99.0   93.5    5.5
  5.00    1.40    0.66   0.56 |    0.0   83.7   16.3 |   99.0   93.5    5.5
  6.00    1.40    0.66   0.56 |    0.0   82.1   17.9 |   99.0   93.5    5.5
  7.00    1.40    0.66   0.56 |    0.0   78.4   21.6 |   99.0   93.5    5.5
  3.00    1.60    0.70   0.56 |    0.0   14.4   85.6 |  100.0   94.4    5.6
  4.00    1.60    0.70   0.56 |    0.0   14.4   85.6 |  100.0   94.4    5.6
  5.00    1.60    0.70   0.56 |    0.0   14.4   85.6 |  100.0   94.4    5.6
  6.00    1.60    0.70   0.56 |    0.0   14.1   85.9 |  100.0   94.4    5.6
  7.00    1.60    0.70   0.56 |    0.0   13.4   86.6 |  100.0   94.4    5.6
  3.00    1.40    0.68   0.56 |    0.0   83.4   16.6 |   99.4   93.5    5.9
  4.00    1.40    0.68   0.56 |    0.0   83.4   16.6 |   99.4   93.5    5.9
  5.00    1.40    0.68   0.56 |    0.0   82.7   17.3 |   99.4   93.5    5.9
  6.00    1.40    0.68   0.56 |    0.0   81.1   18.9 |   99.4   93.5    5.9
  7.00    1.40    0.68   0.56 |    0.0   77.4   22.6 |   99.4   93.5    5.9
  3.00    1.40    0.70   0.56 |    0.0   78.2   21.8 |   99.7   93.5    6.2
  4.00    1.40    0.70   0.56 |    0.0   78.2   21.8 |   99.7   93.5    6.2
  5.00    1.40    0.70   0.56 |    0.0   77.7   22.3 |   99.7   93.5    6.2
  6.00    1.40    0.70   0.56 |    0.0   76.5   23.5 |   99.7   93.5    6.2
  7.00    1.40    0.70   0.56 |    0.0   73.3   26.7 |   99.7   93.5    6.2
  3.00    1.80    0.70   0.56 |    0.0   14.0   86.0 |    0.0   94.8   94.8
  4.00    1.80    0.70   0.56 |    0.0   14.0   86.0 |    0.0   94.8   94.8
  5.00    1.80    0.70   0.56 |    0.0   14.0   86.0 |    0.0   94.8   94.8
  6.00    1.80    0.70   0.56 |    0.0   13.8   86.2 |    0.0   94.8   94.8
  7.00    1.80    0.70   0.56 |    0.0   13.0   87.0 |    0.0   94.8   94.8
  3.00    1.80    0.70   0.58 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  3.00    2.20    0.66   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  3.00    2.20    0.68   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  3.00    2.20    0.70   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  4.00    1.80    0.70   0.58 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  4.00    2.20    0.66   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  4.00    2.20    0.68   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  4.00    2.20    0.70   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  5.00    1.80    0.70   0.58 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  5.00    2.20    0.66   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  5.00    2.20    0.68   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  5.00    2.20    0.70   0.56 |    0.0   13.6   86.4 |    0.0   95.0   95.0
  6.00    1.80    0.70   0.58 |    0.0   13.4   86.6 |    0.0   95.0   95.0
  6.00    2.20    0.66   0.56 |    0.0   13.4   86.6 |    0.0   95.0   95.0
  6.00    2.20    0.68   0.56 |    0.0   13.4   86.6 |    0.0   95.0   95.0
  6.00    2.20    0.70   0.56 |    0.0   13.4   86.6 |    0.0   95.0   95.0
  7.00    1.80    0.70   0.58 |    0.0   12.7   87.3 |    0.0   95.0   95.0
  7.00    2.20    0.66   0.56 |    0.0   12.7   87.3 |    0.0   95.0   95.0
  7.00    2.20    0.68   0.56 |    0.0   12.7   87.3 |    0.0   95.0   95.0
  7.00    2.20    0.70   0.56 |    0.0   12.7   87.3 |    0.0   95.0   95.0
  3.00    2.00    0.68   0.56 |    0.0   13.9   86.1 |    0.0   95.1   95.1
  3.00    2.00    0.70   0.56 |    0.0   13.9   86.1 |    0.0   95.1   95.1
  4.00    2.00    0.68   0.56 |    0.0   13.9   86.1 |    0.0   95.1   95.1
  4.00    2.00    0.70   0.56 |    0.0   13.9   86.1 |    0.0   95.1   95.1
  5.00    2.00    0.68   0.56 |    0.0   13.9   86.1 |    0.0   95.1   95.1
  5.00    2.00    0.70   0.56 |    0.0   13.9   86.1 |    0.0   95.1   95.1
  6.00    2.00    0.68   0.56 |    0.0   13.7   86.3 |    0.0   95.1   95.1
  6.00    2.00    0.70   0.56 |    0.0   13.7   86.3 |    0.0   95.1   95.1
  7.00    2.00    0.68   0.56 |    0.0   12.9   87.1 |    0.0   95.1   95.1
  7.00    2.00    0.70   0.56 |    0.0   12.9   87.1 |    0.0   95.1   95.1
  3.00    2.00    0.68   0.58 |    0.0   13.6   86.4 |    0.0   95.3   95.3
  3.00    2.00    0.70   0.58 |    0.0   13.6   86.4 |    0.0   95.3   95.3
  4.00    2.00    0.68   0.58 |    0.0   13.6   86.4 |    0.0   95.3   95.3
  4.00    2.00    0.70   0.58 |    0.0   13.6   86.4 |    0.0   95.3   95.3
  5.00    2.00    0.68   0.58 |    0.0   13.6   86.4 |    0.0   95.3   95.3
  5.00    2.00    0.70   0.58 |    0.0   13.6   86.4 |    0.0   95.3   95.3
  6.00    2.00    0.68   0.58 |    0.0   13.4   86.6 |    0.0   95.3   95.3
  6.00    2.00    0.70   0.58 |    0.0   13.4   86.6 |    0.0   95.3   95.3
  7.00    2.00    0.68   0.58 |    0.0   12.6   87.4 |    0.0   95.3   95.3
  7.00    2.00    0.70   0.58 |    0.0   12.6   87.4 |    0.0   95.3   95.3
  3.00    2.20    0.66   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  3.00    2.20    0.68   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  3.00    2.20    0.70   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  4.00    2.20    0.66   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  4.00    2.20    0.68   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  4.00    2.20    0.70   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  5.00    2.20    0.66   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  5.00    2.20    0.68   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  5.00    2.20    0.70   0.58 |    0.0   13.2   86.8 |    0.0   95.6   95.6
  6.00    2.20    0.66   0.58 |    0.0   13.0   87.0 |    0.0   95.6   95.6
  6.00    2.20    0.68   0.58 |    0.0   13.0   87.0 |    0.0   95.6   95.6
  6.00    2.20    0.70   0.58 |    0.0   13.0   87.0 |    0.0   95.6   95.6
  7.00    2.20    0.66   0.58 |    0.0   12.3   87.7 |    0.0   95.6   95.6
  7.00    2.20    0.68   0.58 |    0.0   12.3   87.7 |    0.0   95.6   95.6
  7.00    2.20    0.70   0.58 |    0.0   12.3   87.7 |    0.0   95.6   95.6
  3.00    1.80    0.70   0.60 |    0.0   13.0   87.0 |    0.0   95.9   95.9
  4.00    1.80    0.70   0.60 |    0.0   13.0   87.0 |    0.0   95.9   95.9
  5.00    1.80    0.70   0.60 |    0.0   13.0   87.0 |    0.0   95.9   95.9
  6.00    1.80    0.70   0.60 |    0.0   12.8   87.2 |    0.0   95.9   95.9
  7.00    1.80    0.70   0.60 |    0.0   12.2   87.8 |    0.0   95.9   95.9
  3.00    2.00    0.68   0.60 |    0.0   12.5   87.5 |    0.0   96.1   96.1
  3.00    2.00    0.70   0.60 |    0.0   12.5   87.5 |    0.0   96.1   96.1
  4.00    2.00    0.68   0.60 |    0.0   12.5   87.5 |    0.0   96.1   96.1
  4.00    2.00    0.70   0.60 |    0.0   12.5   87.5 |    0.0   96.1   96.1
  5.00    2.00    0.68   0.60 |    0.0   12.5   87.5 |    0.0   96.1   96.1
  5.00    2.00    0.70   0.60 |    0.0   12.5   87.5 |    0.0   96.1   96.1
  6.00    2.00    0.68   0.60 |    0.0   12.3   87.7 |    0.0   96.1   96.1
  6.00    2.00    0.70   0.60 |    0.0   12.3   87.7 |    0.0   96.1   96.1
  7.00    2.00    0.68   0.60 |    0.0   11.7   88.3 |    0.0   96.1   96.1
  7.00    2.00    0.70   0.60 |    0.0   11.7   88.3 |    0.0   96.1   96.1
  3.00    2.20    0.66   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  3.00    2.20    0.68   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  3.00    2.20    0.70   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  4.00    2.20    0.66   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  4.00    2.20    0.68   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  4.00    2.20    0.70   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  5.00    2.20    0.66   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  5.00    2.20    0.68   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  5.00    2.20    0.70   0.60 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  6.00    2.20    0.66   0.60 |    0.0   11.7   88.3 |    0.0   96.3   96.3
  6.00    2.20    0.68   0.60 |    0.0   11.7   88.3 |    0.0   96.3   96.3
  6.00    2.20    0.70   0.60 |    0.0   11.7   88.3 |    0.0   96.3   96.3
  7.00    2.20    0.66   0.60 |    0.0   11.0   89.0 |    0.0   96.3   96.3
  7.00    2.20    0.68   0.60 |    0.0   11.0   89.0 |    0.0   96.3   96.3
  7.00    2.20    0.70   0.60 |    0.0   11.0   89.0 |    0.0   96.3   96.3
  3.00    1.80    0.70   0.62 |    0.0   12.0   88.0 |    0.0   96.3   96.3
  4.00    1.80    0.70   0.62 |    0.0   12.0   88.0 |    0.0   96.3   96.3
  5.00    1.80    0.70   0.62 |    0.0   12.0   88.0 |    0.0   96.3   96.3
  6.00    1.80    0.70   0.62 |    0.0   11.8   88.2 |    0.0   96.3   96.3
  7.00    1.80    0.70   0.62 |    0.0   11.1   88.9 |    0.0   96.3   96.3
  3.00    2.00    0.68   0.62 |    0.0   10.7   89.3 |    0.0   96.8   96.8
  3.00    2.00    0.70   0.62 |    0.0   10.7   89.3 |    0.0   96.8   96.8
  4.00    2.00    0.68   0.62 |    0.0   10.7   89.3 |    0.0   96.8   96.8
  4.00    2.00    0.70   0.62 |    0.0   10.7   89.3 |    0.0   96.8   96.8
  5.00    2.00    0.68   0.62 |    0.0   10.7   89.3 |    0.0   96.8   96.8
  5.00    2.00    0.70   0.62 |    0.0   10.7   89.3 |    0.0   96.8   96.8
  6.00    2.00    0.68   0.62 |    0.0   10.6   89.4 |    0.0   96.8   96.8
  6.00    2.00    0.70   0.62 |    0.0   10.6   89.4 |    0.0   96.8   96.8
  7.00    2.00    0.68   0.62 |    0.0    9.9   90.1 |    0.0   96.8   96.8
  7.00    2.00    0.70   0.62 |    0.0    9.9   90.1 |    0.0   96.8   96.8
  3.00    1.80    0.70   0.64 |    0.0    9.8   90.2 |    0.0   98.0   98.0
  4.00    1.80    0.70   0.64 |    0.0    9.8   90.2 |    0.0   98.0   98.0
  5.00    1.80    0.70   0.64 |    0.0    9.8   90.2 |    0.0   98.0   98.0
  6.00    1.80    0.70   0.64 |    0.0    9.7   90.3 |    0.0   98.0   98.0
  7.00    1.80    0.70   0.64 |    0.0    9.0   91.0 |    0.0   98.0   98.0
  3.00    2.00    0.68   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  3.00    2.00    0.70   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  4.00    2.00    0.68   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  4.00    2.00    0.70   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  5.00    2.00    0.68   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  5.00    2.00    0.70   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  6.00    2.00    0.68   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  6.00    2.00    0.70   0.64 |    0.0    6.6   93.4 |    0.0   98.5   98.5
  7.00    2.00    0.68   0.64 |    0.0    6.1   93.9 |    0.0   98.5   98.5
  7.00    2.00    0.70   0.64 |    0.0    6.1   93.9 |    0.0   98.5   98.5
  3.00    2.20    0.66   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  3.00    2.20    0.68   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  3.00    2.20    0.70   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  4.00    2.20    0.66   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  4.00    2.20    0.68   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  4.00    2.20    0.70   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  5.00    2.20    0.66   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  5.00    2.20    0.68   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  5.00    2.20    0.70   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  6.00    2.20    0.66   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  6.00    2.20    0.68   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  6.00    2.20    0.70   0.62 |    0.0    8.9   91.1 |    0.0   98.9   98.9
  7.00    2.20    0.66   0.62 |    0.0    8.3   91.7 |    0.0   98.9   98.9
  7.00    2.20    0.68   0.62 |    0.0    8.3   91.7 |    0.0   98.9   98.9
  7.00    2.20    0.70   0.62 |    0.0    8.3   91.7 |    0.0   98.9   98.9
  3.00    2.20    0.66   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  3.00    2.20    0.68   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  3.00    2.20    0.70   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  4.00    2.20    0.66   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  4.00    2.20    0.68   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  4.00    2.20    0.70   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  5.00    2.20    0.66   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  5.00    2.20    0.68   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  5.00    2.20    0.70   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  6.00    2.20    0.66   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  6.00    2.20    0.68   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  6.00    2.20    0.70   0.64 |    0.0    2.1   97.9 |    0.0  100.0  100.0
  7.00    2.20    0.66   0.64 |    0.0    1.9   98.1 |    0.0  100.0  100.0
  7.00    2.20    0.68   0.64 |    0.0    1.9   98.1 |    0.0  100.0  100.0
  7.00    2.20    0.70   0.64 |    0.0    1.9   98.1 |    0.0  100.0  100.0

================================================================================
【调试信息】

【当前选定参数调试 T_CLS=5.0, T_FEAT=1.8, FT_READ=0.66, FT_RUN=0.6】
  read_correct=1292, read_total=1296,  rate=99.7%
  run_correct=257, run_total=268,  rate=95.9%

  第一个晨读样本 0:
    人脸: score=0.3988, label=False, >FT=False
    蓝色桌子: score=0.6822, label=True, >FT=True
    教室: score=0.6666, label=True, >FT=True
    投影幕布: score=0.6692, label=True, >FT=True
